filename,NUM_WORKERS,SAMPLES_PER_JOB,execTime_ms
example-files/scale_piano_C_maj.wav,8,2048,7.770842333s
example-files/scale_piano_C_maj.wav,1,2048,54.596210875s
example-files/scale_piano_C_maj.wav,2,2048,31.261881125s
example-files/scale_piano_C_maj.wav,2,2048,27.6897505s
example-files/scale_piano_C_maj.wav,1,2048,54.658744458s
example-files/scale_piano_C_maj.wav,4,2048,13.628204542s
example-files/scale_piano_C_maj.wav,4,2048,13.830716625s
example-files/scale_piano_C_maj.wav,8,2048,8.029578958s
example-files/scale_piano_C_maj.wav,8,1024,7.343055666s
example-files/scale_piano_C_maj.wav,8,1024,8.180120791s
example-files/scale_piano_C_maj.wav,8,1024,7.471958375s
example-files/scale_piano_C_maj.wav,8,512,7.896571417s
example-files/scale_piano_C_maj.wav,8,512,8.12526925s
example-files/scale_piano_C_maj.wav,16,2048,8.085695542s
example-files/scale_piano_C_maj.wav,16,2048,8.307299333s
example-files/scale_piano_C_maj.wav,32,2048,10.02039975s
example-files/scale_piano_C_maj.wav,64,2048,9.242638542s
example-files/scale_piano_C_maj.wav,64,1024,8.573230916s
example-files/scale_piano_C_maj.wav,64,512,8.039484291s
example-files/scale_piano_C_maj.wav,64,512,8.919452709s
example-files/scale_piano_C_maj.wav,16,2048,8.764971125s
example-files/a-tender-feeling-piano-torby-brand.wav,8,2048,4m10.876369375s
example-files/a-tender-feeling-piano-torby-brand.wav,8,2048,3m53.905208041s
example-files/blue-yung-kai-with-minnie.wav,8,2048,7m11.604887834s
